A-01-01,We have a malfunction.,‘indina mushkeeleh v shaghleh,عندنا مشكله ف شغله.
M-06-19,Did you inhale any smoke or very hot air?,minRah kaanak shamayt diKhaan wala ReeyaaH Haamyeh?,مندرا كانك شميت دخان وللَ رياح حاميه؟
M-06-20,Do your lungs hurt?,Reetak towzh’ak?,ريتكْ توجعكْ؟
M-06-21,Are you having trouble breathing?,‘indak So’oobeh v it tanavos?,عندك صعوبه ف التنفس؟
M-06-22,This will help avoid infection.,Tha laahee isaa’id v tazhanob ay ‘adwaa,ذ لاهِ إساعدْ ف تجنبْ أيْ عدوى.
M-07-01,This will help you.,Tha idoR ee’aawnak,ذ إدور إعاونكْ.
M-07-02,I have to put a small needle in you here.,yaaltee indigak b ibReh isghayReh min hon,يالتي أندكٌكْ ب أبرَ أسغيرَه من هون.
M-07-03,We need to give you fluid.,yaalitna ni’Took shee yinshRab,يالتنَ نعطوك شي ينشرب .
M-07-04,We need to give you blood.,yaalitna ni’Took shee min id dam,يالتنَ نعطوك شي من الدم.
M-07-05,I need to put a tube into your throat.,yaaltee indeeR RaakoR isghayiR v Halgak,يالتي أندير راكور أسغير ف حلْقٌكْ.
M-07-06,This tube will help you breathe better.,Tha RaakoR idoR i’adel tanafisak ishbeh,ذ راكور إدور إعدل تنفسك أشبهْ.
M-07-07,This tube may feel uncomfortable.,Tha RaakoR igid ee’ood maaho imoonak,ذ راكور إكٌدْ إعود ما هً أمونكْ.
M-07-08,I need to put a tube through your nose to your stomach.,yaaltee indeeR RaakoR isghayiR min ‘ind iKhnaavRak gaaTh shoR kiRshak,يالتي أندير راكور اسغير من عند أخنافرك كاظ شور كرشكْ.
M-07-09,You need to swallow while I put this tube in your nose.,yaaltak tiSRoT loKhiThit indeeR RaakoR v iKhnaavRak,يالتكْ تصرط لوٌخظتْ أندير راكور ف أخنافركْ.
M-07-10,Drink this while I gently place the tube into your nose.,ishRab Tha lo KhiThot indeeR RaakoR v iKhnaavRak i’la keeyaaseh,أشرب ذ لو خظت أندير راكور ف أخنافرك أعل كياسه.
M-07-11,This tube will drain your stomach.,Tha RaakoR eedoR yaSgil mazhbantak,ذ راكور إدور يصكًل مجبنتك.
M-07-12,I have to put a small tube into your neck to give you fluid.,yaaltee indeeR RaakoR isghyiR i’la Ragibtak eeyaak ya’Teek sawaa-il,يالتي أندير راكور اسغير أعلَ رقٌبتكْ أياك يعطيك سوائل.
M-07-13,I need to put a tube in your chest.,yaaltee indeeR RaakoR v gaashooshak,يالتي أندير راكور أف كٌاشوشكْ.
M-07-14,This needle will release the air from your chest.,Thee libReh idoR taTlaS iR ReeH min gaashooshak,ذي لبرَ أدور تطلص الريح من كٌاشوشكْ.
M-07-15,This will help your burns.,haaTha idoR eedaawee liHRoogeh ilee veek,هاذ إدور إداوي لحروقٌه أللي فيكْ.
M-07-16,I need to cut your skin.,yaaltee inshegak v izhil,يالتي أنشقٌكْ ف أجلْ.
M-07-17,We have to restrain you for your safety.,yaalitna na’itno i’leek min azhil salaamtak,يالتنَ نعتنو أعليكْ من أجل سلامتكْ.
M-07-18,You have been burned by a chemical.,Raanak niHRagt ibmaadeh kimyaaweeyeh,رانكْ نحرقٌت بماده كيمياويه.
M-07-19,We need to wash the chemicals from your skin.,yaalitna niSiglo il kimyaaweeyaat min zhildak,يالتن نصكٌلو الكيمياويات من جلدك.
M-07-20,You will need to be completely washed.,yaaltak tinSigil Hateh,يالتكْ تنصكٌل حتَ .
M-07-21,Hold this dressing and apply pressure.,iHkim bil ip paaSmeh o i’SRoo beydak,أحكم بل أباصمَ وأعصرو بيدكْ.
M-07-22,I need to splint your arm.,yaaltee indeeR tabaKh i’la zindak,يالتي أندير تبخ أعل زندكْ.
M-07-23,I need to splint your leg.,yaaltee indeeR tabaKh i’la Saagak,يالتي أندير تبخ أعل صاكٌك.
M-07-24,I am applying a tourniquet to stop the bleeding.,laahee indeeR lak ip paaSmeh maan’eh eeyaak itwagev id dam,لاهِ أندير لك أباصمه مانعه اياك أتوقٌف الدم.
M-08-01,Have you urinated today?,vit bilt il yoom?,فت بلت اليوم؟
M-08-02,Does your bladder feel full?,Haas b imbooltak mintafKha?,حاس ب أمبولتك منتفخه؟
M-08-03,Do you have problems starting to urinate?,tazhbaR moshkeleh v il bol saabig itbool?,تجبر مشلكه ف البول سابكٌ أتبولْ؟
M-08-04,Do you have an urge to urinate but are unable to pass urine?,i’yeh yaghiSbak il bol o yagilbak itbool?,أعيَ يغصبك البول ويقلبكْ أتبول؟
M-08-05,Do you have any pain with urination?,yiKhlig lak ay alam im’a il bol?,يخلكٌ لكْ أي ألم مع البول؟
M-08-06,Urinate into this container.,bool v haaThee iS SaTleh,بول ف هاذ الصطله.
M-08-07,You need a tube in your bladder.,miHtaazh il RaakoR il imbooltak,محتاج ألْ راكور ل أمبولتكْ.
M-08-08,I am going to insert a tube into your bladder to drain urine.,laahee indeeR RaakoR v imbooltak ee’aawin v towKhaaTh il bol,لاهِ اندير راكور ف أمبولتك إعاون ف توخاظْ البولْ.
M-08-09,This tube will empty the urine from your bladder.,Tha RaakoR idoR imashee il bol kaamil min imbooltak,ذ راكور إدور إمشي البول كامل من أمبولتكْ.
M-08-10,This tube will feel uncomfortable in you.,Tha RaakoR maaho laahee ee’ood imoonak veek,ذ راكور ماهُ لاهِ إعود أمونك فيك.
M-08-11,Do not touch this tube.,laa itmis Tha RaakoR,لا تمس ذ ركور.
M-09-01,Do not eat or drink until the surgery.,laa tawkal o laa tishRab saabig il ‘amaleeyeh,لا توكل و لا تشرب سابقٌ العمليه.
M-09-02,Do not eat or drink anything after midnight tonight.,laa tawkal o laa tishRab shee ‘aagib minwee il layleh,لا توكل و لا تشرب شي عاكٌب مينوي ألليله.
M-09-03,Take this medicine.,igbaTh Tha idweh,أكٌبظ ذَ الدوَ.
M-09-04,You must remain in bed.,yaaltak tibgeh taakee,يالتك تبقٌ تاكي.
M-09-05,Do not move at all.,laa tiHRak shoR ay iblad,لا تحرك شور أي أبلدْ.
M-09-06,You must stay in this room.,yaaltak tibgeh v Tha il bayt,يالتكْ تبقٌ ف ذ البيتْ.
M-09-07,You must not smoke.,maa yaaltak tikmee,ما يالتك تكمي.
M-09-08,We have to cut your hair off here.,yaalitneh inHasno RaaSak hon,يالتنَ أنحسنو راصكْ هون.
M-09-09,You may get up to go to the toilet.,itgid togev o itgees id doosh,أتكٌد توقٌف وأتكٌيس الدوشْ.
M-09-10,We cannot give you anything to eat or drink.,maa ingido ni’Took shee towklo o laa shee tishiRbo,ما أنكٌدو نعطوك شي توكلو ولا شي تشربو.
M-09-11,"If you need surgery, your stomach must be empty.","ilaa ‘idt miHtaazh lil ‘amaleeyeh, mazhbantak yaalit-ha it’ood Khaaweeyeh",إلا عدتْ محتاج للعمليه، مجبنتك يالتها أتعود خاويه.
M-09-12,We will give you food and drink as soon as it is safe to do so.,indoR ni’Took lokeel o ishRaab il waqit ilee ‘aado maataw imKhaSReen i’leek shee,أندور نعطوك لوكيل وأشراب الوقت أللي عادو ماتاو أمخصرين أعليك شي.
M-10-01,Are you having pain?,inta mit-alim?,أنت متألم؟
M-10-02,Where are you having pain?,imnayn yoozh’ak?,أمنين يوجعك؟
M-10-03,Is the pain here?,hon yoozha’?,هون يوجع؟
M-10-04,Does anything make the pain better?,veeh ay shee eeKhavev i’leek il alam?,فيه أي شي إخفف أعليك ألألم؟
M-10-05,Does anything make the pain worse?,veeh ay shee imaten i’leek il alam?,فيه أي شي إمتنْ أعليك ألألم؟
M-10-06,Did the pain start today?,il alam ibda i’leek il yoom?,ألألم أبدأ أعليك اليوم؟
M-10-07,Describe the pain on a scale from 1 to 10.,awSav il alam i’la meezaan min waaHid ilaa ‘ashRah,أوصف الألم أعل ميزان من واحد إلى عشره.
M-10-08,10 is the worst possible pain and 1 is no pain at all.,‘ashRah heeyeh amten daRazheh min il alam o waaHid maa veeh alam gaa’,عشره هي أمتن درجه من الألم و واحد مافيه ألم كٌاعْ.
M-10-09,Hold up the number of fingers.,iRvid iSbaa’ eydak,أرفد اصباع أيدكْ.
M-10-10,What is the main problem?,shinheeyeh il moshkeleh il asaaseeyeh?,شنهي المشكله الساسيه؟
M-10-11,How long have you had the pain?,kam lak ‘idt mit-alam?,كم لك عدتْ متألم؟
M-10-12,Show me where the pain started.,in’atlee bil imanyn ibda il alam,أنعتلي بل أمنين أبدأ الألم.
M-10-13,Does the pain go to the back?,il alam yalHag iTh-haR?,ألألم يلحقٌ الظهر؟
M-10-15,Does the pain go to the testicles?,il alam yalHag ibyaaThak?,الألم يلحق أبياظكْ؟
M-10-16,Does this pain go to the groin?,il alam yalHag iRvaaqak?,الالم يلحقٌ أرفاقكْ؟
M-10-17,Is this a sharp pain?,il alam eedig?,الالم إدقٌ؟
M-10-18,Is this a dull pain?,il alam imteen?,الألم أمتين؟
M-10-19,Is this a cramping pain?,il alam yoozha’?,الألم يوجع؟
M-10-20,Is this a constant pain?,il alam maa eewagev?,الألم ما أيوقٌف؟
M-10-21,Is this an intermittent pain?,il alam yimshee o yeezhee?,الألم يمشي وإيجي؟
M-10-22,Is this a mild pain?,il alam iKhfeev?,الألم أخفيف؟
M-10-23,Is this a moderate pain?,,
M-10-24,Is this a severe pain?,il alam imteen?,الألم أمتين؟
M-10-25,Is this the worst pain you ever had?,haaTha howa amten alam gaT iKhliglak?,هاذ هو أمتن ألم كٌط أخلقٌ لكْ؟
M-10-26,Is there anything that relieves the pain symptom?,maa veeh shee eeKhafev i’leek Haalaat il alam?,مافيه شي إخفف أعليك حالات الألم؟
M-10-27,Is there anything that worsens the pain symptom?,maa veeh shee eematen i’leek Haalaat il alam?,مافيه شي إمتنْ أعليك حالات الألم؟
M-10-28,Have you seen a doctor or anyone about this?,gisit Tabeeb wala ay Had v Thee laKhbaaR?,كٌست طبيب وللَ اي حد فذي لخبار؟
M-10-29,What medicines are you taking?,ay doweh tigbaTh ThaRk?,أي أدوَ تكٌبظ ظركْ؟
M-10-30,Are you experiencing fevers?,itzheek il Himeh?,أتجيكْ ألحمَ؟
M-10-31,Are you experiencing chills?,itzheek iR Rizhveh?,أتجيكْ الرجفه؟
M-10-32,Are you experiencing nausea?,yagibThak shayn laKhlaag?,يكٌبظك شين لخلاكٌ؟
M-10-33,Are you experiencing vomiting?,tigThiv?,تقٌذف؟
M-10-34,Are you experiencing diarrhea?,gaabThak izhawv?,كٌابظكْ أجَوْف؟
M-10-35,Are you experiencing loss of appetite?,yigibThak viqdaan ish shaheeyeh?,يكٌبظك فقدان الشهيه؟
M-10-36,Are you experiencing headaches?,gaabThak iRaaS?,كٌابظك أراصْ؟
M-10-37,Are you experiencing visual disturbances?,‘indak mashaakil v ish shawveh?,عندكْ مشاكل ف الشوفَ؟
M-10-38,Are you experiencing numbness or tingling?,imnayn Thaak yiRgid minak iblad wala tigibThak il wakleh?,أمنين ذاكْ يركٌد منك أبلد ولل تكٌبظك الوكله؟
M-10-39,Are you experiencing bleeding by mouth or rectum?,tigThiv shee veeh id dam wala tahaDhmo?,تقٌذف شي فيه الدم وللَ تهضمو؟
M-11-01,Do you feel sick?,Haas ibgilt iS SaHa?,حاس ب كٌلتْ أصحه؟
M-11-02,Did you begin to feel sick today?,Hasayt ibgilit iS SaHa il yoom?,حسيت ب كٌلت الصحه اليوم؟
M-11-03,How many days have you felt sick?,kam a’Tayt min yoom maanak imSaHaH?,كم أعطيت من يوم مانك أمصحح؟
M-11-04,Is the sickness here?,il maRaDh hon?,المرض هون؟
M-11-05,Do you feel nauseated?,gaabThak shayn laKhlaag?,كٌابظكْ شين لخلاقٌ؟
M-11-06,Did the nausea start today?,shayn laKhlaag ibda i’leek il yoom?,شين لخلاقٌ أبدأ أعليك اليوم؟
M-11-07,How many days have you had the nausea?,kam min yoom gibThak shayn laKhlaag?,كم من يوم كٌبظكْ شين لخلاقٌ؟
M-11-08,Have you been vomiting?,kint tigThiv?,كنت تقٌذف؟
M-11-09,Is there any blood in your vomit?,maa shivit dam v igThaavak?,ما شفت دم ف أقٌذافكْ؟
M-11-10,Is there any black color in your vomit?,maa shivit shee akHal v igThaavak?,ما شفت شي أكحل ف أقٌذافكْ؟
M-11-11,Have you had any diarrhea?,‘aagib eezheek izhowv?,عاكٌب إجيك أجوفْ؟
M-11-12,How many times have you had diarrhea today?,kam min maRah gisit id doosh beek eezhowv il yoom?,كم من مره كٌستْ أدوش بيك أجوف اليوم؟
M-11-13,Would your diarrhea today fill this?,ig’aadak il yoom yamleh Tha?,أكٌعادك اليوم يمل ذَ؟
M-11-14,What color is the diarrhea?,shinhowa lawn ig’aadak?,شنهو لون أكٌعادكْ؟
M-11-15,Is it red?,aHmaR?,أحمر؟
M-11-16,Is it yellow?,aSfaR?,أصفر؟
M-11-17,Is it green?,aKhDhaR?,أخضر؟
M-11-18,Is it black?,ikHal?,أكحل؟
M-11-19,When was the last time you had a bowel movement?,aynta kaanit il maRah it taaleeyeh ig’adit veeha i’la il kabeeneh?,أينت كانت المره التاليه أكٌعدت فيه أعل الكبينه؟
M-11-20,Has there been any blood in your stool?,kaan veeh dam v Tha ilee ihDhamt?,كان فيه دم ف ذَ أللي أهضمت؟
M-11-21,Are you bleeding from your rectum?,maashee minak id dam min bil imnayn tihDham?,ماشي منك أدم من بل أمنين تهضمْ؟
M-11-22,Have your stools been black?,ig’aadak kaan ikHal?,أكٌعادك كان أكحلْ؟
M-11-23,Do you have fever?,i’leek il Himeh?,أعليك الحمَ؟
M-11-24,For how many days have you had a fever?,kam min yoom ‘aadlak i’leek il Himeh?,كم من يوم عادلك أعليك الحمَ؟
M-11-25,Does it burn when you urinate?,yigibThak iHReeg elayn itbool?,يكٌبظك أحريقٌ إلين أتبول؟
M-11-26,Does it hurt when you urinate?,yoozh’ak bil il bol elayn itleh itbool?,يوجعك بل البول إلين أتلَ أتبول؟
M-11-27,Are you urinating more than usual?,itbool akthaR min il maRaat il ‘aadeeyaat?,أتبول أكثر من المرات العاديات؟
M-11-28,Is there blood in the urine?,bawlak veeh dam?,بولك فيه دم؟
M-11-29,When did you eat last?,aynta il maRah it taaleeyeh ilee kalt veeha shee?,أينت المره التاليه أللي كلت فيه شي؟
M-11-30,Are you hungry?,inta zhee’aan?,أنت جيعان؟
M-11-31,Do you have worms?,veek iHnoosht izhawv?,فيك أحنوشت أجوفْ؟
M-11-32,Do you have malaria?,veek Himit in naamoos?,فيك حمت الناموسْ؟
M-11-33,Do you have tuberculosis?,veek is sil?,فيك السل؟
M-11-34,Do you know what I mean by the term HIV?,ta’Rav ishna’nee b iseeda?,تعرف اشنعني ب أسيدا؟
M-11-35,Do you know what I mean by the term AIDS?,ta’Rav ishna’nee b aydz?,تعرف اشنعني ب أيدزْ؟
M-11-36,Are you infected with the HIV virus?,gaabThak maRaDh iseeda?,كٌابظكْ مرض السيدا؟
M-11-37,Do you have AIDS?,gaabThak maRaDh iseeda?,كٌابظكْ مرض السيدا؟
M-11-38,You need a blood test for the HIV virus.,inta miHtaazh il vaHiS id dam ‘an iseeda,أنت محتاج أل فحص الدم عن السيدا.
M-12-01,Do you have pain in this joint I’m touching?,yoozh’ak Tha il mavSal minak ilee maas ThaRk?,يوجعكْ ذ المفصل منكْ أللي ماسْ ظركْ؟
M-12-02,Do you have pain in any other joint?,yoozh’ak ay mavSal awKhaR minak?,يوجعك أي مفصل أوخر منكْ؟
M-12-03,Which joint hurts the most?,ay mavSal yoozh’ak akthaR?,أي مفصل يوجعك أكثر؟
M-12-04,Do you have pain in this muscle I’m touching?,toozh’ak Thee il ‘aThleh ilee maas?,توجعك ذي العظله أللي ماسْ؟
M-12-05,Do you have pain in any other muscle?,toozh’ak ay ‘aThleh aKhRa minak?,توجعك أي عظله أخرَ منك؟
M-12-06,Where is the muscle pain?,,
M-12-07,Is this muscle cramping?,Thee il ‘aThleh toozh’ak?,ذي العظله توجعكْ؟
M-12-08,Have you ever had any broken bones?,gaT id dagdig veek a’Tham?,كٌط أدكٌدكْ فيك أعظم؟
M-12-09,What bones have you broken?,ay a’Tham gaT itkasaR minak?,أي أعظم كٌط أتكسر منكْ؟
M-12-10,Does it hurt when I do this?,Tha yoozha’ elayn in’adel ibTh iS Seeveh?,ذ يوجع إلين أنعدل أبذ اصيفَ؟
M-12-11,Do this.,‘adel ibThee iS Seeveh,عدل بذي أصيفَ.
M-12-12,You need an X-ray of your bone.,yaaltak yo’adilak Raadjo ilTha la’Tham,يالتك يُعدلك رادو ألذ العظمْ.
M-12-13,I will examine the X-ray and tell you what I see.,indoR inKhaRaS likleesheh o ingoolak Tha ilee shivit,أندور أنخرص لكليشَ وأنقٌول لك ذ أل شفتْ.
M-12-14,The bone is broken here.,la’Tham mitkasaR min hon,لعظم متكسر من هون.
M-12-15,The bone is not broken here.,la’Tham maaho mitkasaR min hon,لعظم ماهُ متكسر من هونْ.
M-12-16,You need a cast to help the bone heal.,yaaltak it’alag bil il kasiR eeyaak yibRah la’Tham,يالتك أتعلقٌ بل الكسر اياك يبرَ لعظمْ.
M-12-17,Do not remove the cast.,laa itHaRik il ‘alaageh,لا أتحرك ألعلاكٌه.
M-12-18,Do not get the cast wet.,laa itbil il ‘alaageh,لا أتبل العلاكٌه.
M-12-19,You need a splint to help the injury heal.,miHtaazh il tibiKh eeyaak yabRa izhiRH,محتاج ال تبخ أياك يبر أجرحْ.
M-12-20,You may take the splint off to clean yourself.,itgid tigla’ tabaKh o taSgil bil izhiRH,أتكٌد تكٌلع تبخ وتصكٌل بل أجرح.
M-12-21,The splint must be replaced after you have cleaned yourself.,tabaKh yaalto yindaaR ilaa ‘aagib iSgeel bil il ‘eTob,تبخ يالتو يندار ألا عاكٌب أصقيل بل العطبْ.
M-12-22,You need a metal plate and screws to help the healing of your bone.,miHtaazh il siRvaayeh min il ma’den o veesaat eeyaak indaawee Tha il ‘aThom,محتاج أل سرفايَ من المعدن وفيساتْ أياك أندواي ذ لعظمْ.
M-12-23,We need to take you to the operating room to perform an operation on you.,yaalitna nimsho beek shoR bil il ‘amaleeyaat eeyaak in’adlo lak ‘amaleeyeh,يالتنَ نمشو بيك شورْ بل العمليات أياك أنعدلولك عمليه.
M-13-01,Do you have an intrauterine device (birth control device)?,‘indak zhihaaz yimna’ il Hamil?,عندكْ جهاز يمنع الحمل؟
M-13-02,Have you had missed periods of menstruation recently?,‘aagib itRaSav lik doRa ilee maalo yaasiR?,عاكٌب أترصف لك دوره أللي مالو ياسرْ؟
M-13-03,Do you use pills for birth control?,tigibThee Hab mani’ il Hamil?,تكبظي حب منع الحمل؟
M-13-04,Are you pregnant?,intee Haamil?,أنتِ حامل؟
M-13-05,Could you be pregnant?,itgidee it’oodee mawzhoo’a?,أتكٌدي أتعودي موجوعَ؟
M-13-06,When was your last period?,aynta kaanit doRtik it taaleeyeh?,اينتَ كانت دورتك التاليَ؟
M-13-07,How many pregnancies have you had?,kam min maRah watzha’tee bitiRkeh?,كم من مره وتجعتي ب اتّركَه؟
M-13-08,Are you having any vaginal discharge?,maashee minik il meh?,ماشي منكْ ألمَ؟
M-13-09,Are you having vaginal bleeding?,‘indik nazeev?,عندك نزيف؟
M-13-10,How long have you had vaginal bleeding?,kam lik i’leek in nazeev?,كم لك أعليك أنزيف؟
M-13-11,Does the vaginal bleeding come and go?,in nazeev yimshee o yeezhee?,أنزيف يمشي وإيجي؟
M-13-12,Is the vaginal bleeding constant?,in nazeev maa eewagav?,أنزيف ما أيوقٌف؟
M-13-13,Do you feel dizzy?,yagibThik itzagneen?,يكٌبظكْ أتزكٌنينْ؟
M-13-14,How many months have you been pregnant?,haaTha shahRik il yaash?,هاذ شهرك أل ياشْ؟
M-13-15,How many children do you have?,kam ‘indik min itiRkeh?,كم عندك من أتركه؟
M-13-16,Have you been raped?,gaT oghtaSabtee?,كٌط اُغتصبتي؟
M-13-17,We need to examine you carefully.,yaalitna niviHSook Hateh,يالتنَ نفحصوك حتً .
M-13-18,We will protect your privacy as much as we can.,maaneh laahee nibiKhlo shee v il moHaavaTha i’la KhoSooSeeyaatik,مانَ لاهِ نبخلو شي ف المحافظه أعل خصوصياتك.
M-13-19,Does this hurt?,Tha yoozha’?,ذ يوجعْ؟
M-13-20,Do not push yet.,laa ta’iSRee ThaRk,لا تعصري ظركْ .
M-13-21,Push now.,a’iSRee,أعصري.
M-13-22,Push now as hard as you can.,a’iSRee Hateh elayn Thaak,أعصري حت إلين ذاكْ.
M-13-23,The baby is here.,leensheeR KhaaTh,لينشير خاظْ.
M-13-24,It is a boy.,howa iTvil,هو أطفلْ.
M-13-25,It is a girl.,heeyeh Tivleh,هي طفله.
M-13-26,The baby looks healthy.,leensheeR keev shee maa yoozh’o shee,لينشير كيف شي ما يوجعو شي.
M-13-27,We will take good care of the baby.,indoR na’iRvo shee il leensheeR,أندور نعرفو شي ألْ لينشير.
M-14-01,Your child is sick.,iTvil maReeDh,أطفل مريض.
M-14-02,Your child is hurt.,insheeRik mit-alam,إينشيرك متألمْ.
M-14-03,We need to care for your child.,yaalitneh na’iRvo shee il insheeRik,يالتنَ نعرفو شي ألْ إينشيرك.
M-14-04,You need to let us keep your child here.,yaaltik itKhaleena niHkmo insheeRik hon,يالتك أتخلين نحكمو إينشيركْ هونْ.
M-14-05,You may stay with your child.,itgidee tibgaay im’a linsheeR,أتكٌدي تبقٌاي مع لنشير.
M-14-06,Let us examine your child in private.,Khaleena niviHSo insheeRik maa iHThaana Had,خلينَ نفحصو إينشيرك ما أحذانَ حدْ.
M-14-07,Your child will get better soon.,insheeRik idoR yabRa igRayib,إينشيرك إدور يبرَ أكٌريبْ.
M-14-08,This medicine will help your child.,Tha idweh idoR yanva’ insheeRik,ذ أدوَ إدورْ ينفع إينشيركْ.
M-14-09,Did your child eat today?,insheeRik kaal shee il yoom?,إينشيرك كال شي اليوم؟
M-14-10,Did your child eat yesterday?,insheeRik kaal shee yaamis?,إينشيرك كال شي يامسْ؟
M-14-11,Has your child passed urine today?,insheeRik baal il yoom?,إينشيرك بال اليومْ؟
M-14-12,Has your child passed any stool today?,insheeRik ‘adal shee v koosho il yoom?,إينشيرك عدلْ شي أف كوشو اليوم؟
M-14-13,Did your child pass any stool yesterday?,insheeRik ‘adal shee v koosho yaamis?,إينشيرك عدلْ شي أف كوشو يامسْ؟
M-14-14,Has your child had any diarrhea?,insheeRik gaabTho izhoov?,إينشيرك كٌابظو أجوفْ؟
M-14-15,Has your child been vomiting?,insheeRik gaabTho ligThaav?,إينشيرك كابظو لكٌذافْ؟
M-14-16,Your child looks healthy.,insheeRik keev shee il Hamdo lil laah maaho Haas ibshee,أينشيرك كيف شي الحمدلله ماهو حاس أبشي.
M-14-17,Your child will be fine.,insheeRik maaho laahee yazhbaR moshkeleh,أينشيرك ما هو لاهِ يجبر مشكله.
M-14-18,Your child will be ill for a long time.,insheeRik laahee itgil SaHTo il modit yaasiR min iz zaman,أينشيرك لاهِ أتكٌل صحتو ألمدة ياسر من الزمنْ.
M-14-19,"This illness will pass slowly, but your child’s health will return completely.","gilit iS SaHa idoR tooKhTho a’leeh ishway, yaghayR insheeRik idoR itSeebo il ‘aavyeh o ee’ood maaho Haas ibshee",كٌلت أصحَ أدور توخظ أعليه اشوي، يغير إينشيرك أدور أتصيبو العافيه وإعود ماهُ حاس أبشي.
M-14-20,Feed the child small portions every few hours.,waklee insheeRik ishway min kil saa’a,وكلي إينشيركْ أشوي من كل ساعة.
M-14-21,Help your child drink this every few hours.,isgee Tha il insheeRik min kil saa’aat ishway,أسكٌي ذ ألْ إينشيرك من كل ساعات اشويْ.
M-14-22,Feed this medicine to your child every four hours.,SaRTee il insheeRik Tha idweh min kil aRba’ saa’aat,صرطي أل إينشيرك ذ الدوَ من كل أربع ساعاتْ.
M-14-23,Allow your child to sleep.,Khalee insheeRik yiRgid,خلي إينشيرك يركٌدْ.
M-14-24,You need to sleep as much as the child does.,yaalit iRgaadik ee’ood mitgaad im’a iRgaad insheeRik,يالتْ اركٌادك إعود متكٌاد مع أركٌاد إينشيرك.
M-14-25,Bring your child back here tomorrow.,zheebee insheeRik hon maRa iKhRah iS SibiH,جيبي إينشيرك هون مره اخرَ اصبحْ.
M-14-26,Bring your child back if there is no improvement by tomorrow.,zheebee insheeRik hon maRa iKhRah iS SibiH elayn maa titHasan Haalto,جيبي إينشيرك هون مره اخرَ اصبحْ إلين ما تتحسن حالتو.
M-14-27,We will continue to follow the health of your child with you.,indoR intaab’o im’aak shad aKhbaaR SaHit insheeRik,أندور أنتابعو أمعاك شد أخبار صحة إينشيرك.
M-15-01,Do you have any chest pain or tightness?,gaashooshak yoozh’ak wala veek Theeg in navas?,كٌاشوشك يوجعكْ وللَ فيك ظيكْ أنفسْ؟
M-15-02,Are you having trouble trying to breathe?,‘indak moshkeleh v it tanavos?,عندك مشكله ف التنفس؟
M-15-03,Do you have chest pain over your entire chest?,gaashooshak yoozh’ak min kil iblad?,كٌاشوشك يوجعك من كل أبلد؟
M-15-04,Do you have pain from your chest into your arm?,zindak o gaashooshak lathnayn yoozh’ook?,زندك و كٌاشوشك لثنين يوجعوكْ؟
M-15-05,Have you had this type of chest pain before?,gaT iKhlig lak Tha awzhee’ il gaashoosh saabig Tha?,كٌط أخلقٌ لك ذ أوجيع الكٌاشوش سابقٌ ذَ؟
M-15-06,Do you feel light- headed with the chest pain?,yagibThak itzagneen im’a awzhee’ il gaashoosh?,يكٌبظك أتزكٌنين مع أوجيع الكٌاشوش؟
M-15-07,Do you sweat with the chest pain?,ta’Rag im’a awzhee’ il gaashoosh?,تعرقٌ مع أوجيع الكٌاشوشْ؟
M-15-08,This heart pill may give you a headache.,idweh il galib haaTha igib igabThak iR RaaS,أدوَ القٌلب هاذ إيكٌد إكٌبظك الراصْ.
M-15-09,This will go under your tongue.,Tha laahee eezhee taHt ilsaanak,ذ لاهِ إجي تحت ألسانكْ.
M-15-10,Chew this and swallow it.,imdagh haaTha o SaRTowa,أمدغ هاذ وأصرطو.
M-15-11,Let us take care of you.,Khaleena na’iRvoo lak shee,خلينَ نعرفو لكْ شي.
M-16-01,Open your eyes.,Hil ‘ayneek,حل عينيكْ.
M-16-02,Close your eyes.,ghamaTh ‘ayneek,غمظ عينيكْ.
M-16-03,Do you have any pain in your eyes?,‘ayneek yoozh’ook?,عينيك يوجعوكْ؟
M-16-04,Do you wear corrective glasses?,ideeR baSaaRaat ishowveh?,أدير بصارات أشوفَ؟
M-16-05,Do you wear contact lenses?,ideeR ‘adsaat?,أدير عدساتْ؟
M-16-06,Is your vision clear in both eyes?,shawvtak zayneh v ‘ayneek ithintayn?,شوفتك زينه ف عينيك أثنتينْ؟
M-16-07,Which eye has a new problem?,ay ‘ayneek veeha moshkeleh izhdeedeh?,أي عينيك فيهَ مشكله جديده؟
M-16-08,Do you see my fingers?,itRaa’ee v iSbaa’ee?,أتراعي ف أصباعي؟
M-16-09,Are they clear?,waaDhHeen?,واضحينْ؟
M-16-10,How many fingers do you see right now?,shaayiv kam min iSbi’ ThaRk?,شايف كم من أصبع ظرك؟
M-16-11,I am going to be looking into your eyes with this.,laahee nivHaS ‘ayneek ibhaaTha,لاهِ نفحص عينيك أبهاذَ.
M-16-12,Keep your head still.,sakan RaaSak,سكن راصكْ.
M-16-13,Look straight ahead and focus on an object.,KhaRaS gidaamak o Rakiz i’la shee waaHid,خرص كٌدامك و ركز أعل شي واحدْ.
M-16-14,"While I am looking into your eyes, continue to focus on that object.","lowKhiTht nivHaS ‘ayneek, tem ilaa imRakez i’la Theek iRwaayeh",لوخظت نفحص عينيك، تم ألا أمركز أعلي ذيك الروايَ.
M-16-15,I am going to put some drops into your eye.,,
M-16-16,I am going to blow a puff of air into your eye.,laahee inboKh lak shee min iR ReeH v ‘ayneek,لاهٍ أنبمخْ لك شي من الريح ف عينيكْ.
