A-01-01,We have a malfunction.,‘idnaa ‘ajez,عدنا عجز
C-04-20,Do you have radio contact with people in other places?,‘indukum itiSaalaat laasilkee wiyaa in naas bil manaaTiq ath thaaneeya?,عندكم إتصالات لاسلكي ويا الناس بالمناطق الثانية؟
C-04-21,Can you use these roads during the winter?,tigdaroo tista’miloon haT Turuq bish shitaa?,تگدرو تستعملون هالطرق بالشتا؟
C-05-01,Do not stop if convoy is attacked!,laa togaf iThaa inDharab ar ratil!,لا توگف إذا انضرب الرتل!
C-05-02,Drive a minimum of 3 kms before stopping.,soog ‘ala il-aqal thalaath keelomatraat gabul maa togaf,سوگ على الأقل ثلاث كيلومترات گبل ما توگف
C-05-03,Following distance is 100m on open highway.,biT Tareeq is saree’ ibta’id masaafat meet matir ‘an is sayaara il gablak,بالطريق السريع إبتعد مسافة 001 متر عن السيارة إلگبلك
C-05-04,Following distance is 50m in towns.,ibta’id masaafat Khamseen matir ‘an is sayaara il gablak,إبتعد مسافة 05 متر عن السيارة إلگبلك
C-05-05,"When stopped on the road, keep enough space between vehicles to drive around if required.","iThaa togaf bish shaari’, Khalee masaafa kaafeeya beynak oo bayn is sayaaraat la tigdar itdoor lo tiHtaaj",إذا توگف بالشارع، خلي مسافة کافیة بينك وبين السيارات لتگدر تدور لو تحتاج
C-05-06,"If you lose sight of the convoy, slow down and wait for a military truck to pass you, and follow it.","iThaa Dhaya’et ir ratil, Khafuf wo intaDhir loree ij jaysh wo imshee waraah",إذا ضيعت الرتل، خفف وإنتظر لوري الجيش وإمشي وراه
C-05-07,No weapons.,maaku asliHa,ماكو أسلحة
C-05-08,No cell phone use.,mamnoo’ isti’maal al mobaayel,ممنوع إستعمال الموبايل
C-05-09,Do not throw food or water to the locals (Emiratis).,laa tirmee akil aw maay lil imaaraateyeen,لا ترمي أكل أو ماي للإماراتيين
C-05-10,No littering or dumping trash on military camps or staging areas.,la nijis aw wasaaKha bil mu’asker aw ‘ala il manaSaat,لا نجس أو وساخة بالمعسكر أو على المنصات
C-05-11,Go around any broken down truck in the convoy.,door Hawel ay loree Kharbaan bil ratil,دور حول أي لوري خربان بالرتل
C-05-12,No flashing beacons.,maaku Dhuwa flaash,ماكو ضوه فلاش
C-05-13,Fuel vehicle every time vehicle stops.,‘abee baanzeen kul maa togaf,عبي بانزين كل ما توگف
C-05-14,Food is provided at some military camps when available.,yenToon akil ib ba’Dh il mu’askaraat min yeekoon mitwafer,ينطون أكل ببعض المعسكرات من يكون متوفر
C-05-15,Bring plenty of food and water with you.,jeeb wiyaak akil oo maay chetheer,جيب وياك أكل وماي چثير
C-05-16,"If you have to stop for any reason and the convoy continues, wait for help from the military.","iThaa iDhTareet togaf lee-ay sabab wo ir ratil mustamir, intaDhir musaa’ada ‘askareeya",إذا إضطريت توگف لأي سبب والرتل مستمر ، إنتظر مساعدة عسكرية
C-05-17,They will escort you back into position.,raH yiHmoon Dhahrak,رح يحمون ظهرك
C-05-18,No fighting or arguing with any other driver over position in convoy.,laa tit’aarak aw titjaadal ma’a ay saayeq aaKhar ‘ala mas-ooleeyit ir ratil,لا تتعارك أو تتجادل مع أي سايق آخر على مسؤولية الرتل
C-05-19,Drive in single file.,sooq ‘ala KhaT waaHid,سوق على خط واحد
C-05-20,Be prepared to stop and assist broken down trucks. (Note: This is an instruction for bobtail drivers.),koon musta’id lil wogoof wo musaa’adat il loreeyaat il Kharbaana,كون مستعد للوگوف ومساعدة اللوريات الخربانة
C-05-21,Report any problems with other drivers to the convoy commander.,baligh aamer ir ratil ‘an ay mashaakil wiyaa is suwaaq il aaKhareen,بلغ آمر الرتل عن أي مشاكل ويا السواق الاخرين
C-05-22,No drug or alcohol use while driving.,mamnoo’ isti’maal al muKhadaraat aw il kuHool min itsooq,ممنوع إستعمال المخدرات أو الكحول من تسوق
C-05-23,Know how to change tires and have proper tools.,it’alam shlon itbadil it taayaraat wo Khalee wiyaak al ‘ida al maTlooba,تعلم شلون تبدل التايرات وخلي وياك العدة المطلوبة
C-05-24,"Loads, straps, chains, and tires are the drivers’ responsibility.",at taHmeel wo taghyeer al taayaraat mas- ooleeyet as suwaaq,التحميل وتغيير التايرات مسؤولية السواگ
C-05-25,Check every time the convoy stops.,ifHaShaa kul mara yogaf ir ratil,إفحصها كل مرة يوگف الرتل
C-06-01,How many people live in this area?,kam waaHid ye’eesh ibhal manTaqa?,كم واحد يعيش بهالمنطقة؟
C-06-02,How many water wells do you have in this area?,kam beer maay ‘indukum ibhal manTaqa?,كم بير ماي عندكم بهالمنطقة؟
C-06-03,Do you have a sewage system in this area?,‘indukum majaaree ibhal manTaqa?,عندكم مجاري بهالمنطقة؟
C-06-04,How far are the latrines from the water wells?,kam tib’id il mazbala min beer il maay?,كم تبعد المزبلة من بير الماي؟
C-06-05,What type of herds graze in this area?,shinoo naw’ il qaTee’ ibhal manTaqa?,شنو نوع القطیع بهالمنطقة؟
C-06-06,Is there a veterinarian?,aku Tabeeb bayTaree?,أكو طبيب بيطري؟
C-06-07,Are there any factories in the area?,aku ma’aamil ibhal manTaqa?,أكو معامل بهالمنطقة؟
C-06-08,Is there a river nearby?,aku nahar qareeb?,أكو نهر قريب؟
C-06-09,Where do you get electricity from?,min wayn taaKhThoon kahrabaa?,من وين تاخذون كهرباء؟
C-06-10,Is there a power plant nearby?,aku maHaTat kahrabaa qareeba?,أكو محطة كهرباء قريبة؟
C-06-11,What kind of electric appliances do people use?,shinoo il adawaat il kahrabaa-eeya ilee yista’milhaa in naas?,شنو الأدوات الكهربائية إللي يستعملها الناس؟
C-06-12,Do you use electric stoves?,tista’mil TabaaKh kahrabaa-ee?,تستعمل طباخ كهربائي؟
C-06-13,Have there been forest fires in the area?,aku Haraayeq ghaabaat bil manTaqa?,أكو حرايق غابات بالمنطقة؟
C-06-14,Are there any gas pipes around here?,aku anaabeeb ghaaz qareeba min naa?,أكو أنابيب غاز قريبة منّا؟
C-06-15,Do you use gas to heat homes around here?,tista’miloon ghaaz litadfee-at il biyoot min naa?,تستعملون غاز لتدفئة البيوت منّا؟
C-06-16,Is gas used for cooking?,tista’miloon ghaaz lil TabuKh?,تستعملون غاز للطبخ؟
C-06-17,Do you use propane gas tanks?,tista’miloon qanaanee il ghaaz?,تستعملون قناني الغاز؟
C-06-18,Where do you get propane gas tanks supplied from?,min wayn itjeeboon qanaanee il ghaaz?,من وين تجيبون قناني الغاز؟
C-06-19,Is there anyone to inspect home gas appliances?,aku aHad yifHaS ajhizat il ghaaz bil bayt?,أكو أحد يفحص أجهزة الغاز بالبيت؟
C-06-20,Is there an electrician here?,aku kahrabaa-ee min naa?,أكو كهربائي منّا؟
C-06-21,Is there a water supply system to households?,aku ay tajheezaat maay lil ibyoot?,أكو أي تجهیزات ماي للبيوت؟
C-06-22,Where is the facility located?,wayn eesaalet il maay?,وين إسالة الماي؟
C-06-23,How many people operate the system?,kam waaHid yishtughil ib eesaalet il maay?,كم واحد يشتغل بإسالة الماي؟
C-06-24,Is it connected to other water supply systems?,hal heya murtabTa ib- eesaalaat al maay al oKhra?,هل هي مرتبطة بإسالات الماي الأخرى؟
C-06-25,Is it functional?,tishtughul?,تشتغل؟
C-06-26,Where are the sources of raw water?,min wayn maSaader al maay al KhaabuT?,من وين مصادر الماي الخابط؟
C-06-27,Is it polluted?,imlawath?,ملوث؟
C-06-28,Is there a water treatment used?,tista’miloon mu’aqeemaat lil maay?,تستعملون معقمات للماي؟
C-06-29,Is it chemical?,keemyaaweeya?,كيمياوية؟
C-06-30,Is it through filtration?,‘an Tareeg al tarsheeH?,عن طريگ الترشيح؟
C-06-31,Is it by sedimentation?,‘an Tareeg al tarasubaat?,عن طریگ الترسبات؟
C-06-32,Where is the pumping station?,wayn maHaTat aDh DhaKh?,وين محطة الضخ؟
C-06-33,How many people are needed to keep the system functional?,kam waaHid yiHtaajoo Hata tistamir il-eesaala tishtughul?,كم واحد يحتاجو حتى تستمر الإسالة تشتغل؟
C-06-34,We’ve heard that there have been some problems with sewage in this neighborhood.,sema’naa aku mashaakil bil majaaree ibhal manTaqa,سمعنا أكو مشاكل بالمجاري بهالمنطقة
C-06-35,Do you have indoor plumbing?,‘indukum majaaree jowa il bayt?,عندكم مجاري جوه البيت؟
C-06-36,Do you have any problems with your plumbing?,‘indukum ay mashaakil ib majaareekum?,عندكم أي مشاكل بمجاريكم؟
C-06-37,Does your toilet work?,merHaaDhkum yishtughul?,مرحاضكم يشتغل؟
C-06-38,How many toilets do you have in the house?,kam merHaaDh ‘indukum bil bayt?,كم مرحاض عندكم بالبيت؟
C-06-39,Do you have a septic tank?,‘indukum sabatank?,عندكم سبتنك؟
C-06-40,Is there anyone who can fix your sewer?,aku waaHid yigdar yiSaliH majaareekum?,أكو واحد يگدر يصلح مجاريكم؟
C-06-41,Have you contacted anyone regarding this problem? If so who?,iteSalit ibay waaHid min ajil hal mushkila? iThaa ee minoo huwa?,إتصلت بأي واحد من أجل هالمشكلة؟ إذا إي منو هو؟
C-06-42,When did you contact them?,mita itaSalit feehum?,متى إتصلت فيهم؟
C-06-43,I will report this higher up and see if there is something we can do to fix the sewage problem.,raH arfa’haa lil mas-ool wo ashoof iThaa nigdar insawee shee Hata insaliH al majaaree,رح أرفعها للمسؤول وأشوف إذا نگدر نسووي شي حتى نصلح المجاري
C-06-44,We will contact the sewage company and find out what is being done to correct the problem.,raH netaSel ib mudeereeyat il majaaree wo inshoof iThaa yegidroo yesawoo shay liHal il mushkila,رح نتصل بمديرية المجاري ونشوف إذا يگدرو إيسوو شي لحل المشكلة
C-07-01,How many radios and TVs are in this area?,kam maHaTat eeThaa’a wo telfezyoon ibhal manTaqa?,كم محطة إذاعة وتلفزيون بهالمنطقة؟
C-07-02,Do you have a radio station in this area?,aku eeThaa’a ibhal manTaqa?,أكو إذاعة بهالمنطقة؟
C-07-03,Do you have a TV station in the area?,aku maHaTet telfezyoon ibhal manTaqa?,أكو محطة تلفزيون بهالمنطقة؟
C-07-04,Do you have a public announcement system?,aku markaz i’laanee?,أكو مركز إعلاني؟
C-07-05,Where do you post announcements?,wayn it’alegoon il i’laanaat?,وين تعلگون الإعلانات؟
C-07-06,Is there a local newspaper?,aku jareeda maHaleeya?,أكو جريدة محلية؟
C-07-07,Is there a news agency representative nearby?,aku muraasil il wokaalaat aanbaa gareeb?,أكو مراسل لوكالة أنباء گريب؟
C-07-08,Is there an information center?,aku markaz lil ma’loomaat?,أكو مركز للمعلومات؟
C-07-09,Do you receive fliers?,tistalim maTboo’aat?,تستلم مطبوعات؟
C-07-10,Who distributes the fliers?,minoo yowazi’ al maTboo’aat?,منو يوزع المطبوعات؟
C-07-11,Where do you buy a newspaper?,imnayn wayn tishtiree al jareeda?,منين وين تشتري الجريدة؟
C-08-01,May I see your ID?,mumkin ashoof haweetak?,ممكن أشوف هويتك؟
C-08-02,Where do you live?,wayn tuskun?,وين تسكن؟
C-08-03,Where is the farm located?,wayn makaan al mazra’a?,وين مكان المزرعة؟
C-08-04,What was produced on the farm?,shinoo maHaaSeel al Haqil?,شنو محاصيل الحقل؟
C-08-05,Who confiscated the land?,minoo Saadar al aareDh?,منو صادر الأرض؟
C-08-06,Who now occupies your farm?,minoo maaKheTh Haqlak alHeen?,منو ماخذ حقلك الحين؟
C-08-07,Have you talked with them?,Hakayt wiyaahum?,حكيت وياهم؟
C-08-09,You think it’s dangerous?,te’taqid heeya KhaTra?,تعتقد هي خطرة؟
C-08-10,I will contact the appropriate authorities to investigate this matter.,anee raH ataSel bil mas-ool il muKhtaS lil taHqeeq ibhal mawDhoo’,آني رح أتصل بالمسؤول المختص للتحقيق بهالموضوع
C-08-11,Please know we will assist you.,rajaa-an nreedak it’arif iHna raH insaa’dak,رجاءً نريدك تعرف إحنا رح نساعدك
C-08-12,You must allow the local authorities to conduct their investigation.,laazim itKhalee al mas- ooleen il maHaleeyeen yeesawoon taHqeeqhum,لازم تخلي المسؤولين المحليين يسوون تحقيقهم
C-08-13,You must go to the base and speak with an interpreter.,laazim itrooH lil mu’askar wo teHkee wiyaa mutarjem,لازم تروح للمعسكر وتحكي ويا مترجم
C-08-14,The name of the owner,isim al maalek,إسم المالك
C-08-15,The name of the property,isim al ‘eqaar,إسم العقار
C-08-16,Location of the property,mawqe’ al ‘eqaar,موقع العقار
C-08-17,Present use of the property,il shinoo yesta’mel il ‘eqaar alHeen,الشنو يستعمل العقار الحين
C-08-18,What is the condition of the property?,shinoo Haalat al ‘eqaar?,شنو حالة العقار؟
C-08-19,Who has the title?,minoo ‘indoo sanad al mulkeya?,منو عندو سند الملكية؟
C-09-01,Put your hands on the steering wheel and do not move them.,Khalee eydak ‘ala il dirkisyon wo laa itHarik haa,خلي إيديك على الدركسيون ولا تحركها
C-09-02,You are breaking the curfew.,inta Kharaqit man’ al tajawul,إنت خرقت منع التجول
C-09-03,You were speeding.,inta chinit musri’,إنت چنت مسرع
C-09-04,The curfew is in effect.,man’ al tajawul saaree al maf’ool,منع التجول ساري المفعول
C-09-05,Did you know there is a curfew?,tu’ruf aku man’ tajawul?,تعرف أكو منع تجول؟
C-09-06,The streets are not safe right now.,al shawaari’ moo aamna alHeen,الشوارع مو أمنه الحين
C-09-07,We will escort you to your relatives.,iHna raH inraafqak il garaaybak,إحنا رح نرافقك لگرايبك
C-09-08,The police station will give you information about curfew.,markaz ish shurTa raH yenTeek ma’loomaat ‘an man’ il tajawul,مركز الشرطة رح ينطيك معلومات عن منع التجول
C-09-09,Turn off the engine.,Tafee al sayaara,طفي السيارة
C-09-10,Get out of your vehicle.,iTla’ min sayaartak,إطلع من سيارتك
C-09-11,"May I see your ID, please?","agdar ashoof haweetak, rajaa-an?",أگدر أشوف هويتك ، رجاءً؟
C-09-12,Where are you going?,wayn raayeH?,وين رايح؟
C-09-13,Are you carrying any weapons?,shaayil ay slaaH?,شايل أي سلاح؟
C-09-14,How much money are you carrying?,ishged shaayil floos?,شگد شايل فلوس؟
C-09-15,Who gave you the money?,minoo neTaak il ifloos?,منو نطاك الفلوس؟
C-09-16,Do you have a gun under the seat?,‘indak musadas jowa il kursee?,عندك مسدس جوه الكرسي؟
C-09-17,Are you hiding anything illegal?,Dhaam ay shey mamnoo’?,ضام أي شي ممنوع؟
C-09-18,"Since you broke the law, we have to arrest you.","li-anak Khaalafit il qaanoon, laazim inwaqfak",لأنك خالفت القانون، لازم نوقفك
C-09-19,We have to take you to the police station.,laazim naaKhThak il markaz ish shurTa,لازم ناخذك لمركز الشرطة
C-09-20,You will ride with us to the police station.,raH tirkab wiyaanaa il markaz ish shurTa,رح تركب ويانا لمركز الشرطة
C-09-21,We detained this man at ___.,iHna wagafnaa har rajul be ___,إحنا وگفنا هالرجل بـ ___
C-09-22,He broke the curfew.,huwa Kharaq man’ il tajawul,هو خرق منع التجول
C-09-23,Can you help verify the man’s identity?,tigdar itsaa’id bit ta’aruf ‘ala haweeyat ar rayaal?,تگدر تساعد بالتعرف على هوية الريال؟
C-09-24,He was hiding a gun.,huwa kaan imKhabee musadas,هو كان مخبي مسدس
C-10-01,Turn off your engine.,Tafee al muHarik,طفي المحرك
C-10-02,Get out of the truck please.,inzil min il peekab rajaa-an,إنزل من البيكب رجاءً
C-10-03,Where are you coming from?,min wayn jaay?,من وين جاي؟
C-10-04,Where are you going to?,wayn raayeH?,وين رايح؟
C-10-05,What are you transporting?,shinoo shaayil?,شنو شايل؟
C-10-06,Please unlock the back door.,rajaa-an iftaH baab al waraa,رجاءً إفتح باب الورا
C-10-07,We need to inspect the cargo.,inreed infatish al Humoola,نريد نفتش الحمولة
C-10-08,What is this?,shinoo haThaa?,شنو هذا؟
C-10-09,Where did you get this ammunition?,min wayn jibit haThaa il ‘itaad?,من وين جبت هذا العتاد؟
C-10-10,Who does this ammunition belong to?,il minoo haThaa il ‘itaad?,إلمنو هذا العتاد؟
C-10-11,We are going to detain you and confiscate your truck.,iHna raH ni’taqlak wo inSaader il peekab maalak,إحنا رح نعتقلك ونصادر البيكب مالك
C-10-12,You will get your truck back if you tell us who you are taking this to.,raH taaKhuTh il peekab maalak iThaa giltina ilman itwadee haThaa il ‘itaad,رح تاخذ البيكب مالك إذا گلتنا إلمن تودي هذا العتاد
C-11-01,The name of the village,isim al qarya,إسم القرية
C-11-02,The location of the village,mawqi’ al qarya,موقع القرية
C-11-03,Is there a road access for cars?,aku shaari’ lil sayaaraat?,أكو شارع للسيارات؟
C-11-04,Is there a road access for four-wheel drive?,aku Tareeq il sayaaraat laandrover?,أكو طريق لسيارات لاندروفر؟
C-11-05,Is there a road access for trucks?,aku Tareeq lil loreeyaat?,أكو طريق للوريات؟
C-11-06,Is the road accessible in the winter?,il Tareeq zayn bil shitaa?,الطريق زين بالشتا؟
C-11-07,What is the number of the current population?,kam ‘adad as sukaan al Haalee?,كم عدد السكان الحالي؟
C-11-08,How many children are there?,kam Tifil aku ihnaak?,كم طفل أكو هناك؟
C-11-09,How many men are there?,kam rayaal aku ihnaak?,كم ريال أكو هناك؟
C-11-10,How many women are there?,kam mara aku ihnaak?,كم مره أكو هناك؟
C-11-11,How many locals are there?,kam muwaaTin aku ihnaak?,كم مواطن أكو هناك؟
C-11-12,How many refugees are there?,kam laaji aku ihnaak?,كم لاجئ أكو هناك؟
C-11-13,How many returnees are there?,kam waaHid rija’ ilhal manTaqa?,كم واحد رجع لهالمنطقة؟
C-11-14,Who is the community leader?,minoo ar ra-ees?,منو الرئيس؟
C-11-16,Where is the local warehouse?,wayn al maKhzin al maHalee?,وين المخزن المحلي؟
C-11-17,Is there a storage facility?,aku maKhaazin?,أكو مخازن؟
C-11-18,Is this village used for secondary distribution?,hal haay al qarya tista’mil lit tawzee’ ath thaanawee?,هل هاي القرية تستعمل للتوزيع الثانوي؟
C-11-19,Which villages receive assistance from this village?,ay qarya taaKhuTh musaa’ada min hal qarya?,أي قرية تاخذ مساعدة من هالقرية؟
C-11-20,How many damaged houses in this village?,kam bayt mitDharir ibhal qarya?,كم بیت متضرر بهالقریة؟
C-11-21,How many unfinished houses in this village?,kam bayt ba’doo maa kaamil ibhal qarya?,كم بيت بعدو ما كامل بهالقرية؟
C-11-22,Was there any new war damage to buildings since before the conflict?,aku aDhraar jedeeda bil binaayaat ibsabab il Harub gabul iS Siraa’?,أكو أضرار جديدة بالبنايات بسبب الحرب گبل الصراع؟
C-11-23,Is there a school in the village?,aku madrasa bil qarya?,أكو مدرسة بالقرية؟
C-11-24,Is there a mosque / church in the village?,aku jaame’ / kaneesa bil qarya?,أكو جامع / كنيسة بالقرية؟
C-11-25,Is there a bakery?,aku maKhbaz?,أكو مخبز؟
C-11-26,Is there a health facility?,aku markaz Tibee?,أكو مركز طبي؟
C-11-27,Is there any source of food available in the village?,aku maSdar lil-akil mitwafer bil qarya?,أكو مصدر للأكل متوفر بالقرية؟
C-12-01,Let me put you in contact with someone who can help you.,Khaleenee aKhaleek titaSel ibwaaHid yigdar yisaa’dak,خليني أخليك تتصل بواحد يگدر يساعدك
C-12-02,I will take you to him.,raH aKhThak eelah,رح أخذك إله
C-12-03,The person in charge is ___.,ash shaKheS al mas- ool ho ___,الشخص المسؤول هو ___
C-12-04,"In order to be compensated for damages, you must talk to ___.","laazim tiHchee wiyaa ___, Hata teHSel ‘ala ta’weeDh ‘an il-aDhraar",لازم تحچي ويا ،___ حتى تحصل على تعويض عن الأضرار
C-12-05,What is your name?,shinoo ismak?,شنو إشسمك؟
C-12-06,Where do you live? / What is your address?,wayn tuskun? / shinoo ‘inwaanak?,وين تسكن؟ / شنو عنوانك؟
C-12-07,What happened to your car?,shinoo Saar il sayaartak?,شنو صار لسيارتك؟
C-12-08,"What kind of car is it? (year, make, model)","shinoo naw’ sayaartak? (al sana, al sharika, al moodeyl)",شنو نوع سيارتك؟ (السنة ، الشركة، الموديل)
C-12-09,Show me your car registration.,raaweenee tarKheeS sayaartak,راويني ترخيص سيارتك
C-12-10,Where is your car right now?,wayn sayaartak alHeen?,وين سیارتك الحين؟
C-12-11,Is your car drivable?,sayaartak tishtughul?,سيارتك تشتغل؟
C-12-12,Can you bring your car here?,tigdar itjeeb sayaartak min naa?,تگدر تجيب سيارتك منّا؟
C-12-13,Where did the accident happen?,wayn Saar al Haadith?,وين صار الحادث؟
C-12-15,What Civilian Forces’ vehicle damaged your car?,ay sayaarat difaa’ madanee Dhurbet sayaartak?,أي سيارة دفاع مدني ضربت سيارتك؟
C-12-16,What soldiers were involved in the accident?,ay junood kaanoo mitwareTeen bil Haadith?,أي جنود كانوا متورطين بالحادث؟
C-12-17,Thank you for your time.,"aKhaThnaa min waqtak, shukran",أخذنا من وقتك، شكراً
C-12-18,I appreciate your patience.,anaa mamnoon il Sabrak,آنا ممنون لصبرك
C-12-19,"In order to be compensated for damages, you must fill out this document.","laazim timlee hal wathaa-iq, Hata teHSal ta’weeDh ‘ala il Khasaa-ir",لازم تملي هالوثائق، حتى تحصل تعويض على الخسائر
C-12-20,"In order to be compensated for damages, you must see ___.","laazim itshoof, ___ Hata teHSal ta’weeDh ‘ala il Khasaa-ir",لازم تشوف ،___ حتى تحصل تعويض على الخسائر
C-13-01,Where can we purchase meat?,min wayn nigdar nishtiree laHem?,من وين نگدر نشتري لحم؟
C-13-02,Where can we purchase vegetables and fruit?,min wayn nigdar nishtiree KhuDhar wo fawaakeh?,من وين نگدر نشتري خضر وفواكة؟
C-13-03,Where can we purchase bread and grains?,min wayn nigdar nishtiree Khubuz wo Huboob?,من وين نگدر نشتري خبز وحبوب؟
C-13-04,Where can we purchase dairy products?,min wayn nigdar nishtiree muntajaat albaan?,من وين نگدر نشتري منتجات ألبان؟
C-13-05,Where can we purchase water?,min wayn nigdar nishtiree maay?,من وين نگدر نشتري ماي؟
C-13-06,We need to examine the herd.,niHtaaj nefHaS al qaTee’,نحتاج نفحص القطیع
C-13-07,We need to examine the animals on the farm.,niHtaaj nefHaS al Haywaanaat bil Haqil,نحتاج نفحص الحيوانات بالحقل
C-13-08,We need to inspect the slaughterhouse for sanitation.,niHtaaj infatish al majzara lil woqaaya iS SaHeeya,نحتاج نفتش المجزرة للوقاية الصحية
C-13-09,We need to inspect the bakery for sanitation.,niHtaaj infatish al maKhbaz lil woqaaya iS SaHeeya,نحتاج نفتش المخبز للوقاية الصحية
C-13-10,We need to inspect the dairy plant.,niHtaaj infatish ma’mal al-albaan,نحتاج نفتش معمل الألبان
C-13-11,We need to inspect the poultry plant.,niHtaaj infatish Haqil id dawaajin,نحتاج نفتش حقل الدواجن
C-13-12,When was the last time these animals were inoculated?,mita aaKhir mara itlaqaHat haay il Haywaanaat?,متى آخر مرة تلقحت هاي الحيوانات؟
C-13-13,Do they need to be vaccinated?,tiHtaaj taT’eem?,تحتاج تطعيم؟
C-13-14,We can provide vaccinations.,iHna nigdar inwafer il taT’eem,إحنا نگدر نوفر التطعيم
C-13-15,"This food is spoiled, please do not eat it.","haThaa il akel Kharbaan, min faDhlak laa taakla",هذا الأكل خربان، من فضلك لا تاكله
C-13-16,Are the crops infected with insects?,il maHaaSeel mit- athera bil Hasharaat?,المحاصيل متأثرة بالحشرات؟
C-13-17,Are the animals infected with parasites?,il Haywaanaat muSaaba biT Tufayleeyaat?,الحيوانات مصابة بالطفيليات؟
M-01-01,Do you understand this language?,tiftihim haay il lugha?,تِفتِهِم هاي اللغة؟
M-01-02,We are here to help you.,eHna min naa Hata insa’idkum,إحنا منّا حتى نساعِدكُم
M-01-03,I do not understand your language.,maa aftihim ‘ala Hacheekum,ما أفتِهِم على حچيكم
M-01-04,There is no one available who speaks this language.,maaku aHad min naa yeHchee haay il lugha,ماكو أحّد منّا يِحچي هاي اللغة
M-01-05,Try to answer my questions with “yes” or “no.”,Haawil itjaawub ‘ala as- iltee ib “ee” aw “laa”,حاول إتجاوب على أسئِلتي بـ “إي” أو “لا”
M-01-06,Move your head like this for “yes.”,Harik raasak chee min itgool “ee”,حَرّك راسَك چي مِن تگول “إي”
M-01-07,Move your head like this for “no.”,Harik raasak chee min itgool “laa”,حَرّك راسَك چي مِن تگول “لا”
M-01-08,Do you know where you are?,tu’ruf inta wayn?,تعرف إنتَ وين؟
M-01-09,Are you thirsty?,inta ‘aTshaan?,إنتَ عَطشان؟
M-01-10,Are you hungry?,inta jo’aan?,إنتَ جوعان؟
M-01-11,Do you need to urinate?,tabee tbool?,تبي تبول؟
M-01-12,Do you need to defecate?,tabee trooH lil Khalaa?,تبي تروح للخلاء؟
M-01-13,Do you want a cigarette?,tabee itdaKhen?,تبي تدخن؟
M-01-14,I understand.,afham,أفهم
M-01-15,I do not understand.,maa afham,ما أفهم
M-01-16,We will try to contact someone from your group.,raH inHaawil nitiSil ibwaaHid min jamaa’tak,رَح نحاوِل نِتّصل بواحد من جَماعتَك
M-01-17,Please.,rajaa-an,رَجاءً
M-01-18,Thank you.,shukran,شُكراً
M-01-19,You are welcome.,ahlan wa sahlan,اهلًا وسهلًا
M-01-20,Thank you for talking with me.,shukran le-anak Hacheyt wiyaaya,شُكراً لأنك حِچيت وِيّايّه
M-01-21,I will talk with you again.,raH aHchee wiyaak mara thaaneya,رَح أحچي وياك مَرّة ثانية
M-01-22,Good-bye.,ma’a as salaama,مَعَ السلامَة
M-02-01,Be quiet.,iskit,إسكت
M-02-02,Come with me.,ta’aal wiyaaya,تعال ويّايه
M-02-03,Describe it with gestures.,ooSiflee bil-isharaat,أوصفلي بالإشارات
M-02-04,Do not get excited.,laa titHamas,لا تِتحَمّس
M-02-05,Do what I ask.,sawee mithil maa agol lak,سوّي مِثِل مَا أگُلّك
M-02-06,Do you mean “no”?,tuqSud “laa”?,تقصُد “لا”؟
M-02-07,Do you mean “yes”?,tuqSud “ee”?,تقصُد “إي”؟
M-02-08,Hold up the number of fingers.,raaweenee ir raqim ib- aSaabee’ak,راويني الرَقَم بأصابيعك
M-02-09,I will get an interpreter.,raH ajeeb mutarjim,رَح أجيب مُتَرجِم
M-02-10,Is this it?,huwa haThaa?,هوّ هذا؟
M-02-11,No,laa,لا
M-02-12,Point to it.,aashir ‘aleeh,أشر عليه
M-02-13,Relax.,istareeH,إستريح
M-02-14,Show me.,raaweenee,راويني
M-02-15,Squeeze my hand once for “yes”.,"iThaa “ee”, i’Sor eedee mara",إذا “إي،” إعصر إيدي مره
M-02-16,Squeeze my hand twice for “no”.,"iThaa “laa”, i’Sor eedee maratayn",إذا “لا،” إعصر إيدي مرتين
M-02-17,Write your answer here.,ektib ajwibtak ihnaa,إكتب أجوبتك هنا
M-02-18,Yes,ee,إي
M-02-19,I know first aid.,anaa a’ruf al is’afaat al-awaliya,آنا أعرف الإسعافات الأولية
M-02-20,Don’t move.,laa titHarak,لا تتحرك
M-02-21,We need to move you.,laazim inHarkak,لازم أنحركك
M-02-22,I need to clean your wounds.,laazim in naDhef ijrooHak,لازم إنّظف جروحك
M-02-23,I am here to help you.,anaa ihnaa Hata asaa’dak,آنا هنا حتى أساعدك
M-03-01,What is your given name?,shismak?,شَسمك؟
M-03-02,What is your family name?,shisim ‘a-iltak?,شِسم عائلتَك؟
M-03-03,What is your nationality?,shinoo jinseetak?,شِنو جِنسيتَك؟
M-03-04,What country were you born in?,ib ay balad mawlood?,بأي بَلَد مُولود؟
M-03-05,How old are you?,cham ‘umrak?,چم عُمرَك؟
M-03-06,Do you have an identity card?,‘indak haweeya?,عِندَك هَوِيّة؟
M-03-07,Show me your identification.,raaweenee haweetak,راويني هَويتَك
M-03-08,Do you have any bad reactions to medications?,‘indak ay rad fi’l lil- adwiya?,عندك أي رد فعل للأدوية؟
M-03-09,What is the name of the medication that causes bad reactions?,shinoo isim il duwa ilee yesawee rad fi’l?,شنو إسم الدوا إللي يسوي رد فعل؟
