Dialect,ID,English,Transliteration,Arabic,tags
Saudi,A-02-07,Distance,al misaafa,المسافة,"military, air crew"
Saudi,A-02-08,A beam of ___,bath min ___,بث من ___,
Saudi,A-02-08,A beam of ___,bath min ___,بث من ___,"military, air crew"
Saudi,A-02-09,I passed over ___.,ijtazt fog ___,اجتزت فوق ___,
Saudi,A-02-09,I passed over ___.,ijtazt fog ___,اجتزت فوق ___,"military, air crew"
Saudi,A-02-10,Bearing,inHeraaf,انحراف,
Saudi,A-02-10,Bearing,inHeraaf,انحراف,"military, air crew"
Saudi,A-02-11,Traffic,Haraka,حركة,
Saudi,A-02-11,Traffic,Haraka,حركة,"military, air crew"
Saudi,A-02-12,Unidentified aircraft,Tayaara ghayr ma’roofa,طيارة غير معروفة,
Saudi,A-02-12,Unidentified aircraft,Tayaara ghayr ma’roofa,طيارة غير معروفة,"military, air crew"
Saudi,A-02-13,Aircraft,Tayaara,طيارة,
Saudi,A-02-13,Aircraft,Tayaara,طيارة,"military, air crew"
Saudi,A-02-14,Helicopter,heleekoptar,هيلوكبتر,
Saudi,A-02-14,Helicopter,heleekoptar,هيلوكبتر,"military, air crew"
Saudi,A-02-15,Climb to ___.,iS’ad ila ___,اصعد الى ___,
Saudi,A-02-15,Climb to ___.,iS’ad ila ___,اصعد الى ___,"military, air crew"
Saudi,A-02-16,Descend to ___.,inKhafiDh ila ___,انخفض الى ___,
Saudi,A-02-16,Descend to ___.,inKhafiDh ila ___,انخفض الى ___,"military, air crew"
Saudi,A-02-17,"Estimated time of
arrival (ETA)","waqt al wuSool at
taqreebee",وقت الوصول التقريبي,
Saudi,A-02-17,"Estimated time of
arrival (ETA)","waqt al wuSool at
taqreebee",وقت الوصول التقريبي,"military, air crew"
Saudi,A-02-18,Flight plan,KhiTat ar riHla,خطة الرحلة,
Saudi,A-02-18,Flight plan,KhiTat ar riHla,خطة الرحلة,"military, air crew"
Saudi,A-02-19,Fly heading ___.,Tir biteejaah ___,طر باتجاه ___,
Saudi,A-02-19,Fly heading ___.,Tir biteejaah ___,طر باتجاه ___,"military, air crew"
Saudi,A-02-20,We are bound for ___.,"Hinaa mitwajeeheen ila
___",حنا متوجهين الى ___,
Saudi,A-02-20,We are bound for ___.,"Hinaa mitwajeeheen ila
___",حنا متوجهين الى ___,"military, air crew"
Saudi,A-03-01,Please repeat slowly.,"law simaHt a’id maa
qilta beebuTu",لو سمحت أعد ما قلته ببطء,
Saudi,A-03-01,Please repeat slowly.,"law simaHt a’id maa
qilta beebuTu",لو سمحت أعد ما قلته ببطء,"military, air crew"
Saudi,A-03-02,Roger,istalamt,استلمت,
Saudi,A-03-02,Roger,istalamt,استلمت,"military, air crew"
Saudi,A-03-03,Over,Hawil,حول,
Saudi,A-03-03,Over,Hawil,حول,"military, air crew"
Saudi,A-03-04,I did not understand.,maa fihimt,ما فهمت,
Saudi,A-03-04,I did not understand.,maa fihimt,ما فهمت,"military, air crew"
Saudi,A-03-05,"Your transmission was
blocked.",irsaalik ta’athar,ارسالك تعثر,
Saudi,A-03-05,"Your transmission was
blocked.",irsaalik ta’athar,ارسالك تعثر,"military, air crew"
Saudi,A-03-06,Heavy static,tashweesh kitheer,تشويش كثير,
Saudi,A-03-06,Heavy static,tashweesh kitheer,تشويش كثير,"military, air crew"
Saudi,A-03-07,The signal is weak.,al-irsaal Dha’eef,الارسال ضعيف,
Saudi,A-03-07,The signal is weak.,al-irsaal Dha’eef,الارسال ضعيف,"military, air crew"
Saudi,A-03-08,Say again.,karir,كرر,
Saudi,A-03-08,Say again.,karir,كرر,"military, air crew"
Saudi,A-03-09,"This is an American
aircraft.","haaThee Tayaara
amreekeeya",هذي طيارة امريكية,
Saudi,A-03-09,"This is an American
aircraft.","haaThee Tayaara
amreekeeya",هذي طيارة امريكية,"military, air crew"
Saudi,A-03-10,"Spell it, please.","hajiha, law simaHt",هجها، لو سمحت,
Saudi,A-03-10,"Spell it, please.","hajiha, law simaHt",هجها، لو سمحت,"military, air crew"
Saudi,A-03-11,Did you say ___?,int gilt ___?,انت قلت___؟,
Saudi,A-03-11,Did you say ___?,int gilt ___?,انت قلت___؟,"military, air crew"
Saudi,A-03-12,I do not speak Arabic.,"anaa maa atikalam
‘arabee",أنا ما اتكلم عربي,
Saudi,A-03-12,I do not speak Arabic.,"anaa maa atikalam
‘arabee",أنا ما اتكلم عربي,"military, air crew"
Saudi,A-03-13,"Does anyone there
speak English?","aHad minkum yitikalam
ingleezee?",أحد منكم يتكلم انقليزي؟,
Saudi,A-03-13,"Does anyone there
speak English?","aHad minkum yitikalam
ingleezee?",أحد منكم يتكلم انقليزي؟,"military, air crew"
Saudi,A-03-14,"Am I talking with ___
control?","hal anaa atkalam ma’
___ as sayTara?","هل أنا اتكلم مع ___
السيطرة؟",
Saudi,A-03-14,"Am I talking with ___
control?","hal anaa atkalam ma’
___ as sayTara?","هل أنا اتكلم مع ___
السيطرة؟","military, air crew"
Saudi,A-03-15,"Is there a better
frequency to
communicate?","hal fee taradid thaanee
nagdar nitikalam ‘aleyh?","هل في تردد ثاني نقدر نتكلم
عليه؟",
Saudi,A-03-15,"Is there a better
frequency to
communicate?","hal fee taradid thaanee
nagdar nitikalam ‘aleyh?","هل في تردد ثاني نقدر نتكلم
عليه؟","military, air crew"
Saudi,A-03-16,I read you:,asma’ik jayeedan:,اسمعك جيدا:ً,
Saudi,A-03-16,I read you:,asma’ik jayeedan:,اسمعك جيدا:ً,"military, air crew"
Saudi,A-03-17,five-by,Khamsa fee,خمسة في,
Saudi,A-03-17,five-by,Khamsa fee,خمسة في,"military, air crew"
Saudi,A-03-18,four-by,arba’a fee,اربعة في,
Saudi,A-03-18,four-by,arba’a fee,اربعة في,"military, air crew"
Saudi,A-03-19,three-by,thalaatha fee,ثلاثة في,
Saudi,A-03-19,three-by,thalaatha fee,ثلاثة في,"military, air crew"
Saudi,A-03-20,two-by,ithneyn fee,اثنين في,
Saudi,A-03-20,two-by,ithneyn fee,اثنين في,"military, air crew"
Saudi,A-03-21,I do not read you.,maa simi’tik,ما سمعتك,
Saudi,A-03-21,I do not read you.,maa simi’tik,ما سمعتك,"military, air crew"
Saudi,A-04-01,Runway ___ in use.,"mudaraj ___
mashghool",مدرج ___ مشغول,
Saudi,A-04-01,Runway ___ in use.,"mudaraj ___
mashghool",مدرج ___ مشغول,"military, air crew"
Saudi,A-04-02,Wind at ___.,sur’at ar reeH ___,سرعة الريح ___,
Saudi,A-04-02,Wind at ___.,sur’at ar reeH ___,سرعة الريح ___,"military, air crew"
Saudi,A-04-03,Altimeter,‘adaad al-irteefaa’,عداد الارتفاع,
Saudi,A-04-03,Altimeter,‘adaad al-irteefaa’,عداد الارتفاع,"military, air crew"
Saudi,A-04-04,Number ___ to follow.,"ragam ___ ba’id
haaThee",رقم ___ بعد هذي,
Saudi,A-04-04,Number ___ to follow.,"ragam ___ ba’id
haaThee",رقم ___ بعد هذي,"military, air crew"
Saudi,A-04-05,Report,tagreer,تقرير,
Saudi,A-04-05,Report,tagreer,تقرير,"military, air crew"
Saudi,A-04-06,___ miles,___ amyaal,___ أميال,
Saudi,A-04-06,___ miles,___ amyaal,___ أميال,"military, air crew"
Saudi,A-04-07,___ kilometers,___ keelomitraat,___ كيلومترات,
Saudi,A-04-07,___ kilometers,___ keelomitraat,___ كيلومترات,"military, air crew"
Saudi,A-04-08,Beacon,manaara,منارة,
Saudi,A-04-08,Beacon,manaara,منارة,"military, air crew"
Saudi,A-04-09,Final (approach),al-iqtiraab an nihaa-ee,الاقتراب النهائي,
Saudi,A-04-09,Final (approach),al-iqtiraab an nihaa-ee,الاقتراب النهائي,"military, air crew"
Saudi,A-04-10,Base,qaa’ida,قاعدة,
Saudi,A-04-10,Base,qaa’ida,قاعدة,"military, air crew"
Saudi,A-04-11,Headwind,reeyaaH amaameeya,رياح امامية,
Saudi,A-04-11,Headwind,reeyaaH amaameeya,رياح امامية,"military, air crew"
Saudi,A-04-12,Tailwind,reeyaaH Khalfeeya,رياح خلفية,
Saudi,A-04-12,Tailwind,reeyaaH Khalfeeya,رياح خلفية,"military, air crew"
Saudi,A-04-13,Crosswind,reeyaaH jaaneebeeya,رياح جانبية,
Saudi,A-04-13,Crosswind,reeyaaH jaaneebeeya,رياح جانبية,"military, air crew"
Saudi,A-04-14,Downwind,reeyaaH min al-asfal,رياح من الاسفل,
Saudi,A-04-14,Downwind,reeyaaH min al-asfal,رياح من الاسفل,"military, air crew"
Saudi,A-04-15,Upwind,reeyaaH min al-a’la,رياح من الاعلى,
Saudi,A-04-15,Upwind,reeyaaH min al-a’la,رياح من الاعلى,"military, air crew"
Saudi,A-04-16,Extended (fully),mumtada,ممتدة,
Saudi,A-04-16,Extended (fully),mumtada,ممتدة,"military, air crew"
Saudi,A-04-17,Enter landing pattern.,"idKhul namaT al
hubooT",ادخل نمط الهبوط,
Saudi,A-04-17,Enter landing pattern.,"idKhul namaT al
hubooT",ادخل نمط الهبوط,"military, air crew"
Saudi,A-04-18,Cleared to land.,masmooHlik al hubooT,مسموحلك الهبوط,
Saudi,A-04-18,Cleared to land.,masmooHlik al hubooT,مسموحلك الهبوط,"military, air crew"
Saudi,A-04-19,Landing gear down.,"tam KhafiDh ‘ajalaat al
hubooT",تم خفض عجلات الهبوط,
Saudi,A-04-19,Landing gear down.,"tam KhafiDh ‘ajalaat al
hubooT",تم خفض عجلات الهبوط,"military, air crew"
Saudi,A-04-20,Turn on runway lights.,"ash’il anwaar al
mudaraj",اشعل انوار المدرج,
Saudi,A-04-20,Turn on runway lights.,"ash’il anwaar al
mudaraj",اشعل انوار المدرج,"military, air crew"
Saudi,A-04-21,"Is your navigation
system working?","hal niDhaam al
meelaaHa ‘indik
shaghaal?","هل نظام الملاحة عندك
شغال؟",
Saudi,A-04-21,"Is your navigation
system working?","hal niDhaam al
meelaaHa ‘indik
shaghaal?","هل نظام الملاحة عندك
شغال؟","military, air crew"
Saudi,A-04-22,I see the airfield.,"agdar ashoof al majaal
al jawee",اقدر اشوف المجال الجوي,
Saudi,A-04-22,I see the airfield.,"agdar ashoof al majaal
al jawee",اقدر اشوف المجال الجوي,"military, air crew"
Saudi,A-04-23,I see the runway.,"agdar ashoof al
mudaraj",اقدر اشوف المدرج,
Saudi,A-04-23,I see the runway.,"agdar ashoof al
mudaraj",اقدر اشوف المدرج,"military, air crew"
Saudi,A-04-24,I’ve landed.,qumit bil hubooT,قمت بالهبوط,
Saudi,A-04-24,I’ve landed.,qumit bil hubooT,قمت بالهبوط,"military, air crew"
Saudi,A-04-25,"Is your Instrument
Landing System (VOR,
TACAN) working?","hal mu’idaat al hubooT
‘indik shaghaala?","هل معدات الهبوط عندك
شغالة؟",
Saudi,A-04-25,"Is your Instrument
Landing System (VOR,
TACAN) working?","hal mu’idaat al hubooT
‘indik shaghaala?","هل معدات الهبوط عندك
شغالة؟","military, air crew"
Saudi,A-05-01,Taxiway,masaar at tadaruj,مسار التدرج,
Saudi,A-05-01,Taxiway,masaar at tadaruj,مسار التدرج,"military, air crew"
Saudi,A-05-02,Taxi,tadaruj,تدرج,
Saudi,A-05-02,Taxi,tadaruj,تدرج,"military, air crew"
Saudi,A-05-03,Turn right,lif yemeen,لف يمين,
Saudi,A-05-03,Turn right,lif yemeen,لف يمين,"military, air crew"
Saudi,A-05-04,Turn left,lif yesaar,لف يسار,
Saudi,A-05-04,Turn left,lif yesaar,لف يسار,"military, air crew"
Saudi,A-05-05,To the hardstand,ila manTiqat at tawaquf,الى منطقة التوقف,
Saudi,A-05-05,To the hardstand,ila manTiqat at tawaquf,الى منطقة التوقف,"military, air crew"
Saudi,A-05-06,"Follow the “follow-me”
truck.","itba’ shaaHinat ad
daleel",اتبع شاحنة الدليل,
Saudi,A-05-06,"Follow the “follow-me”
truck.","itba’ shaaHinat ad
daleel",اتبع شاحنة الدليل,"military, air crew"
Saudi,A-05-07,Take runway ___.,KhiTh al mudaraj ___,خذ المدرج ___,
Saudi,A-05-07,Take runway ___.,KhiTh al mudaraj ___,خذ المدرج ___,"military, air crew"
Saudi,A-05-08,Hold short of runway.,iqtirib min al mudaraj,اقترب من المدرج,
Saudi,A-05-08,Hold short of runway.,iqtirib min al mudaraj,اقترب من المدرج,"military, air crew"
Saudi,A-05-09,"Is able, enter next
taxiway.","iThaa kinit gaadir, idKhil
masaar at tadaruj al-
awal","اذا كنت قادر، ادخل مسار
التدرج الاول",
Saudi,A-05-09,"Is able, enter next
taxiway.","iThaa kinit gaadir, idKhil
masaar at tadaruj al-
awal","اذا كنت قادر، ادخل مسار
التدرج الاول","military, air crew"
Saudi,A-05-10,Taxi to parking.,tedaraj ila al mowaagif,تدرج الى المواقف,
Saudi,A-05-10,Taxi to parking.,tedaraj ila al mowaagif,تدرج الى المواقف,"military, air crew"
Saudi,A-05-11,Marshallers will assist.,"al maraasim raaH
yigadimoon al
musaa’ada","المراسم راح يقدومون
المساعدة",
Saudi,A-05-11,Marshallers will assist.,"al maraasim raaH
yigadimoon al
musaa’ada","المراسم راح يقدومون
المساعدة","military, air crew"
Saudi,A-05-12,"Taxi into position and
hold.","tidaraj ila mawgi’ik wa
tewagaf",تدرج الى موقعك و توقف,
Saudi,A-05-12,"Taxi into position and
hold.","tidaraj ila mawgi’ik wa
tewagaf",تدرج الى موقعك و توقف,"military, air crew"
Saudi,A-05-13,"There is an obstacle in
our way.","fee ‘aa-ig fee
Tareegana",في عائق في طريقنا,
Saudi,A-05-13,"There is an obstacle in
our way.","fee ‘aa-ig fee
Tareegana",في عائق في طريقنا,"military, air crew"
Saudi,A-05-14,"Can you move that
___?","hal mumkin tHarik
haaTha ___?",ها ممكن تحرك هذا ___؟,
Saudi,A-05-14,"Can you move that
___?","hal mumkin tHarik
haaTha ___?",ها ممكن تحرك هذا ___؟,"military, air crew"
Saudi,A-05-15,car?,sayaara?,سيارة؟,
Saudi,A-05-15,car?,sayaara?,سيارة؟,"military, air crew"
Saudi,A-05-16,truck?,shaaHina?,شاحنة؟,
Saudi,A-05-16,truck?,shaaHina?,شاحنة؟,"military, air crew"
Saudi,A-05-17,airplane?,Tayaara?,طيارة؟,
Saudi,A-05-17,airplane?,Tayaara?,طيارة؟,"military, air crew"
Saudi,A-05-18,powercart?,"‘arabat shaHin
kahraba?",عربة شحن كهربا؟,
Saudi,A-05-18,powercart?,"‘arabat shaHin
kahraba?",عربة شحن كهربا؟,"military, air crew"
Saudi,A-05-19,"We need minimum
___.",niHtaaj ‘ala al-aqal ___,نحتاج على الاقل ___,
Saudi,A-05-19,"We need minimum
___.",niHtaaj ‘ala al-aqal ___,نحتاج على الاقل ___,"military, air crew"
Saudi,A-05-20,50 feet taxiway,"Khamseen qadam ‘an
masaar at tadaruj","خمسين قدم عن مسار
التدرج",
Saudi,A-05-20,50 feet taxiway,"Khamseen qadam ‘an
masaar at tadaruj","خمسين قدم عن مسار
التدرج","military, air crew"
Saudi,A-05-21,70 feet taxiway,"sab’een qadam ‘an
masaar at tadaruj","سبعين قدم عن مسار
التدرج",
Saudi,A-05-21,70 feet taxiway,"sab’een qadam ‘an
masaar at tadaruj","سبعين قدم عن مسار
التدرج","military, air crew"
Saudi,A-05-22,"Our wingspan is ___
meters.","Tool ajniHatnaa ___
meter",طول اجنحتنا ___ متر,
Saudi,A-05-22,"Our wingspan is ___
meters.","Tool ajniHatnaa ___
meter",طول اجنحتنا ___ متر,"military, air crew"
Saudi,A-05-23,"We need wingtip
clearance.","niHtaaj limasaafa lee
istee’aab al-ajneeHa","نحتاج لمسافة لاستيعاب
الاجنحة",
Saudi,A-05-23,"We need wingtip
clearance.","niHtaaj limasaafa lee
istee’aab al-ajneeHa","نحتاج لمسافة لاستيعاب
الاجنحة","military, air crew"
Saudi,A-06-01,Request takeoff.,"naTlub as samaaH bil-
iqlaa’",نطلب السماح بالاقلاع,
Saudi,A-06-01,Request takeoff.,"naTlub as samaaH bil-
iqlaa’",نطلب السماح بالاقلاع,"military, air crew"
Saudi,A-06-02,Cleared for takeoff.,bee-imkaanik al-iqlaa’,بامكانك الاقلاع,
Saudi,A-06-02,Cleared for takeoff.,bee-imkaanik al-iqlaa’,بامكانك الاقلاع,"military, air crew"
Saudi,A-06-03,"After departure, ___.","ba’ad mughaadarat,
___",بعد مغادرة___ ،,
Saudi,A-06-03,"After departure, ___.","ba’ad mughaadarat,
___",بعد مغادرة___ ،,"military, air crew"
Saudi,A-06-04,Heading,amaamik,امامك,
Saudi,A-06-04,Heading,amaamik,امامك,"military, air crew"
Saudi,A-06-05,Flock of birds,sarib min aT Tuyoor,سرب من الطيور,
Saudi,A-06-05,Flock of birds,sarib min aT Tuyoor,سرب من الطيور,"military, air crew"
Saudi,A-06-06,Climb and maintain.,"iS’ad waHaafiDh ‘ala
irteefaa’ik",اصعد وحافظ على ارتفاعك,
Saudi,A-06-06,Climb and maintain.,"iS’ad waHaafiDh ‘ala
irteefaa’ik",اصعد وحافظ على ارتفاعك,"military, air crew"
Saudi,A-07-01,"What is the maximum
weight the parking
ramp can withstand?","wish agSaa wazin
yitaHamila jiser al
wugoof?","وش اقصى وزن يتحمله
جسر الوقوف؟",
Saudi,A-07-01,"What is the maximum
weight the parking
ramp can withstand?","wish agSaa wazin
yitaHamila jiser al
wugoof?","وش اقصى وزن يتحمله
جسر الوقوف؟","military, air crew"
Saudi,A-07-02,"What is the total length
of the runway?","wish Tool al mudaraj al-
ijmaalee?","وش طول المدرج
الاجمالي؟",
Saudi,A-07-02,"What is the total length
of the runway?","wish Tool al mudaraj al-
ijmaalee?","وش طول المدرج
الاجمالي؟","military, air crew"
Saudi,A-07-03,"What is the width of
the runway?",wish ‘ariDh al mudaraj?,وش عرض المدرج؟,
Saudi,A-07-03,"What is the width of
the runway?",wish ‘ariDh al mudaraj?,وش عرض المدرج؟,"military, air crew"
Saudi,A-07-04,"What is the maximum
weight the runway can
stand?","wish al wazin al-
ijmaalee alee yagdar
yitaHamila al mudaraj?","وش الوزن الاجمالي اللي
يقدر يتحمله المدرج؟",
Saudi,A-07-04,"What is the maximum
weight the runway can
stand?","wish al wazin al-
ijmaalee alee yagdar
yitaHamila al mudaraj?","وش الوزن الاجمالي اللي
يقدر يتحمله المدرج؟","military, air crew"
Saudi,A-07-05,"What are the
operational hours of
your tower?","wishee saa’aat al ‘amal
fee burjikum?","وشي ساعات العمل في
برجكم؟",
Saudi,A-07-05,"What are the
operational hours of
your tower?","wishee saa’aat al ‘amal
fee burjikum?","وشي ساعات العمل في
برجكم؟","military, air crew"
Saudi,A-07-06,"What fees are we
liable for?","wishee ar rusoom al
maTlooba mina?","وشي الرسوم المطلوبة
منا؟",
Saudi,A-07-06,"What fees are we
liable for?","wishee ar rusoom al
maTlooba mina?","وشي الرسوم المطلوبة
منا؟","military, air crew"
Saudi,A-07-07,"How much do we
owe?",kam maTloob mina?,كم مطلوب منا؟,
Saudi,A-07-07,"How much do we
owe?",kam maTloob mina?,كم مطلوب منا؟,"military, air crew"
Saudi,A-07-08,Dollars,doolaaraat,دولارات,
Saudi,A-07-08,Dollars,doolaaraat,دولارات,"military, air crew"
Saudi,A-07-09,Riyals,reeyaalaat,ريالات,
Saudi,A-07-09,Riyals,reeyaalaat,ريالات,"military, air crew"
Saudi,A-07-10,I am ___.,anaa ___,أنا ___,
Saudi,A-07-10,I am ___.,anaa ___,أنا ___,"military, air crew"
Saudi,A-07-11,"the aircraft
commander",qaa-id aT Tayaara,قائد الطيارة,
Saudi,A-07-11,"the aircraft
commander",qaa-id aT Tayaara,قائد الطيارة,"military, air crew"
Saudi,A-07-12,the flight engineer,muhandis ar riHla,مهندس الرحلة,
Saudi,A-07-12,the flight engineer,muhandis ar riHla,مهندس الرحلة,"military, air crew"
Saudi,A-07-13,the navigator,al malaaH,الملاح,
Saudi,A-07-13,the navigator,al malaaH,الملاح,"military, air crew"
Saudi,A-07-14,the copilot,musaa’id aT Tayaar,مساعد الطيار,
Saudi,A-07-14,the copilot,musaa’id aT Tayaar,مساعد الطيار,"military, air crew"
Saudi,A-07-15,the crew chief,ra-ees aT Taaqam,رئيس الطاقم,
Saudi,A-07-15,the crew chief,ra-ees aT Taaqam,رئيس الطاقم,"military, air crew"
Saudi,A-07-16,the flight surgeon,Tabeeb ar riHla,طبيب الرحلة,
Saudi,A-07-16,the flight surgeon,Tabeeb ar riHla,طبيب الرحلة,"military, air crew"
Saudi,A-07-17,the loadmaster,mas-ool at taHmeel,مسئول التحميل,
Saudi,A-07-17,the loadmaster,mas-ool at taHmeel,مسئول التحميل,"military, air crew"
Saudi,A-07-18,the radio operator,ma-moor al-iteeSalaat,مأمور الاتصالات,
Saudi,A-07-18,the radio operator,ma-moor al-iteeSalaat,مأمور الاتصالات,"military, air crew"
Saudi,A-07-19,This is the flight crew.,ma’ak Taaqam ar riHla,معك طاقم الرحلة,
Saudi,A-07-19,This is the flight crew.,ma’ak Taaqam ar riHla,معك طاقم الرحلة,"military, air crew"
Saudi,A-08-01,We need a forklift.,"niHtaaj raafi’a
shawkeeya",نحتاج رافعة شوكية,
Saudi,A-08-01,We need a forklift.,"niHtaaj raafi’a
shawkeeya",نحتاج رافعة شوكية,"military, air crew"
Saudi,A-08-02,Where do we unload?,"wayn inazil al
Humoola?",وين ننزل الحمولة؟,
Saudi,A-08-02,Where do we unload?,"wayn inazil al
Humoola?",وين ننزل الحمولة؟,"military, air crew"
Saudi,A-08-03,Pallet,saTHa,سطحة,
Saudi,A-08-03,Pallet,saTHa,سطحة,"military, air crew"
Saudi,A-08-04,Cargo,shiHna,شحنة,
Saudi,A-08-04,Cargo,shiHna,شحنة,"military, air crew"
Saudi,A-08-05,"We need a pallet
loader.","niHtaaj aHad yiHamil
as saTHa",نحتاج احد يحمل السطحة,
Saudi,A-08-05,"We need a pallet
loader.","niHtaaj aHad yiHamil
as saTHa",نحتاج احد يحمل السطحة,"military, air crew"
Saudi,A-08-06,"We need workers to
assist with unloading.","niHtaaj ‘umaal
yisaa’doona inazil al
Humoola","نحتاج عمال يساعدونا ننزل
الحمولة",
Saudi,A-08-06,"We need workers to
assist with unloading.","niHtaaj ‘umaal
yisaa’doona inazil al
Humoola","نحتاج عمال يساعدونا ننزل
الحمولة","military, air crew"
Saudi,A-08-07,"We need cargo
handlers.","niHtaaj shayaaleen lil
shiHna",نحتاج شيالين للشحنة,
Saudi,A-08-07,"We need cargo
handlers.","niHtaaj shayaaleen lil
shiHna",نحتاج شيالين للشحنة,"military, air crew"
Saudi,A-08-08,"Is there a staging area
for cargo?","hal fee mekaan
inteeDhaar lil shiHna?","هل في مكان انتظار
للشحنة؟",
Saudi,A-09-01,Do you have ___?,fee ‘indikum ___?,في عندكم ___؟,
Saudi,A-09-01,Do you have ___?,fee ‘indikum ___?,في عندكم ___؟,"military, air crew"
Saudi,A-09-02,Oil,zayt,زيت,
Saudi,A-09-02,Oil,zayt,زيت,"military, air crew"
Saudi,A-09-03,Hydraulic fluid,zayt tashHeem,زيت تشحيم,
Saudi,A-09-03,Hydraulic fluid,zayt tashHeem,زيت تشحيم,"military, air crew"
Saudi,A-09-04,Hydraulic system,majmoo’at tashHeem,مجموعة تشحيم,
Saudi,A-09-04,Hydraulic system,majmoo’at tashHeem,مجموعة تشحيم,"military, air crew"
Saudi,A-09-05,"We need local airline
maintenance support.","niHtaaj isnaad
Seeyaana maHalee",نحتاج اسناد صيانة محلي,
Saudi,A-09-05,"We need local airline
maintenance support.","niHtaaj isnaad
Seeyaana maHalee",نحتاج اسناد صيانة محلي,"military, air crew"
Saudi,A-09-06,"Our power
requirements are ___.","tawleed al kahraba al
maTloob ___",توليد الكهربا المطلوب ___,
Saudi,A-09-06,"Our power
requirements are ___.","tawleed al kahraba al
maTloob ___",توليد الكهربا المطلوب ___,"military, air crew"
Saudi,A-09-07,400 cycle,arba’meyat dawra,اربعمية دورة,
Saudi,A-09-07,400 cycle,arba’meyat dawra,اربعمية دورة,"military, air crew"
Saudi,A-09-08,3-phase,thalaath maraaHil,ثلاث مراحل,
Saudi,A-09-08,3-phase,thalaath maraaHil,ثلاث مراحل,"military, air crew"
Saudi,A-09-09,alternating current,tayaar mutabaadal,تيار متبادل,
Saudi,A-09-09,alternating current,tayaar mutabaadal,تيار متبادل,"military, air crew"
Saudi,A-09-10,115 volt,"meeya wu
KhamisTa’ash folt",مية وخمسطعش فولت,
Saudi,A-09-10,115 volt,"meeya wu
KhamisTa’ash folt",مية وخمسطعش فولت,"military, air crew"
Saudi,A-10-01,Is fuel available?,hal al wugood mitwafir?,هل الوقود متوفر؟,
Saudi,A-10-01,Is fuel available?,hal al wugood mitwafir?,هل الوقود متوفر؟,"military, air crew"
Saudi,A-10-02,"What is the fuel
composition / mixture?","wishee KhalTat al
wugood?",وشي خلطة الوقود؟,
Saudi,A-10-02,"What is the fuel
composition / mixture?","wishee KhalTat al
wugood?",وشي خلطة الوقود؟,"military, air crew"
Saudi,A-10-03,What is the cost?,wish as si’ir?,وش السعر؟,
Saudi,A-10-03,What is the cost?,wish as si’ir?,وش السعر؟,"military, air crew"
Saudi,A-10-04,We need ___ kilos.,niHtaaj ___ keeloowaat,نحتاج ___ كيلوات,
Saudi,A-10-04,We need ___ kilos.,niHtaaj ___ keeloowaat,نحتاج ___ كيلوات,"military, air crew"
Saudi,A-10-05,"How much do we owe
you?",kam tabee mina?,كم تبي منا؟,
Saudi,A-10-05,"How much do we owe
you?",kam tabee mina?,كم تبي منا؟,"military, air crew"
Saudi,A-10-06,Do you have fuel pits?,‘indikum Hufrat tazyeet?,عندكم حفرة تزيت؟,
Saudi,A-10-06,Do you have fuel pits?,‘indikum Hufrat tazyeet?,عندكم حفرة تزيت؟,"military, air crew"
Saudi,A-10-07,"Are firefighters
available during
refueling?","hal rijaal al maTaafee
yikoonoon mawjoodeen
‘ind at tazawud bil
wuqood?","هل رجال المطافي يكونون
موجودين عند التزود
بالوقود؟",
Saudi,A-10-07,"Are firefighters
available during
refueling?","hal rijaal al maTaafee
yikoonoon mawjoodeen
‘ind at tazawud bil
wuqood?","هل رجال المطافي يكونون
موجودين عند التزود
بالوقود؟","military, air crew"
Saudi,A-10-08,"How much fuel do
your trucks hold?","kam si’at naaqilatkum
min al wuqood?","كم سعة ناقلتكم من
الوقود؟",
Saudi,A-10-08,"How much fuel do
your trucks hold?","kam si’at naaqilatkum
min al wuqood?","كم سعة ناقلتكم من
الوقود؟","military, air crew"
Saudi,A-10-09,We need refueling.,"niHtaaj ila ee’aadat at
tazawud bil wugood","نحتاج الى اعادة التزود
بالوقود",
Saudi,A-10-09,We need refueling.,"niHtaaj ila ee’aadat at
tazawud bil wugood","نحتاج الى اعادة التزود
بالوقود","military, air crew"
Saudi,A-10-10,"Where will we be
refueling?","wayn raaH yukoon at
tazawud bil wugood?","وين راح يكون التزود
بالوقود؟",
Saudi,A-10-10,"Where will we be
refueling?","wayn raaH yukoon at
tazawud bil wugood?","وين راح يكون التزود
بالوقود؟","military, air crew"
Saudi,A-10-11,"When can we be
refueled?","mita nagdar nitzawud
bil wugood?",متى نقدر نتزود بالوقود؟,
Saudi,A-10-11,"When can we be
refueled?","mita nagdar nitzawud
bil wugood?",متى نقدر نتزود بالوقود؟,"military, air crew"
Saudi,A-11-01,"Weather below
minimums","aT Taqis taHt al Had al-
adna",الطقس تحت الحد الادنى,
Saudi,A-11-01,"Weather below
minimums","aT Taqis taHt al Had al-
adna",الطقس تحت الحد الادنى,"military, air crew"
Saudi,A-11-02,Cloud cover,mughaTaa bil ghuyoom,مغطاة بالغيوم,
Saudi,A-11-02,Cloud cover,mughaTaa bil ghuyoom,مغطاة بالغيوم,"military, air crew"
Saudi,A-11-03,Upper edge at ___,al Had al-a’la ___,الحد الاعلى ___,
